SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
241,156,2330,13,PM,1,L,O,1st Ave N,Denny Way,FS,N,SEA,17,1835,0.6,10.3,1.3,22.4,13.1
241,156,2330,13,XEV,1,L,O,1st Ave N,Denny Way,FS,N,SEA,7,765,0.4,2.7,1,7.3,8.7
241,156,2330,13,XNT,1,L,O,1st Ave N,Denny Way,FS,N,SEA,4,434,0.3,1.2,1.1,4.3,6.5
241,156,2360,14,AM,1,L,O,1st Ave N,Republican St,NS,N,SEA,15,1624,0.1,0.9,1.4,20.6,2.6
241,156,2360,14,MID,1,L,O,1st Ave N,Republican St,NS,N,SEA,24,2580,0.4,10.5,2.5,60.9,4.9
241,156,2360,14,PM,1,L,O,1st Ave N,Republican St,NS,N,SEA,17,1836,1,16.3,3.5,60.2,10.6
241,156,2360,14,XEV,1,L,O,1st Ave N,Republican St,NS,N,SEA,6,655,0.8,4.8,2.6,15.4,6.7
241,156,2360,14,XNT,1,L,O,1st Ave N,Republican St,NS,N,SEA,5,544,0.6,2.9,2,10,5.6
241,156,2370,15,AM,1,L,O,Mercer St,Queen Anne Ave N,NS,N,SEA,15,1624,0.1,1,1,14.9,1.7
241,156,2370,15,MID,1,L,O,Mercer St,Queen Anne Ave N,NS,N,SEA,23,2472,0.5,11.1,1.5,34.5,3.8
241,156,2370,15,PM,1,L,O,Mercer St,Queen Anne Ave N,NS,N,SEA,18,1943,1,18.7,2.3,40.6,9.2
241,156,2370,15,XEV,1,L,O,Mercer St,Queen Anne Ave N,NS,N,SEA,6,655,0.9,5.4,1.7,10.4,5.9
241,156,2370,15,XNT,1,L,O,Mercer St,Queen Anne Ave N,NS,N,SEA,5,544,0.4,2.1,1.6,7.9,4.5
241,156,2390,16,AM,1,L,O,2nd Ave W,W Roy St,FS,N,SEA,14,1513,0,0.4,0.1,2,1.5
241,156,2390,16,MID,1,L,O,2nd Ave W,W Roy St,FS,N,SEA,24,2583,0.1,1.9,0.4,9.7,3.5
241,156,2390,16,PM,1,L,O,2nd Ave W,W Roy St,FS,N,SEA,17,1833,0.1,2.1,0.9,15.7,8.5
241,156,2390,16,XEV,1,L,O,2nd Ave W,W Roy St,FS,N,SEA,7,763,0.1,0.8,0.6,4.1,5.5
241,156,2390,16,XNT,1,L,O,2nd Ave W,W Roy St,FS,N,SEA,5,544,0,0.2,0.6,2.9,3.9
241,156,2400,17,AM,1,L,O,W Olympic Pl,3rd Ave W,NS,N,SEA,14,1514,0,0,0.2,2.1,1.4
241,156,2400,17,MID,1,L,O,W Olympic Pl,3rd Ave W,NS,N,SEA,24,2583,0,1.1,0.6,13.3,2.9
241,156,2400,17,PM,1,L,O,W Olympic Pl,3rd Ave W,NS,N,SEA,17,1834,0.1,1.5,1,17.6,7.6
241,156,2400,17,XEV,1,L,O,W Olympic Pl,3rd Ave W,NS,N,SEA,7,763,0.1,0.8,0.9,6.4,4.6
